There was an error occurred during paying process.,Si è verificato un errore durante il processo di pagamento !

"Payment Result","Pagamento Risultato "
"Failure reason","Cause del difetto " 
"Transaction failure","Pagamenti non riuscite !"
"Payment exception","Eccezione di pagamento, si prega di contattare il proprietario dello shopping di risolvere !"
"Payment is failure, the data validation failed","La convalida dei dati non riuscito, si prega di contattare il proprietario dello shopping per risolverlo !"
"Your order payment is failure","Il vostro pagamento di ordine è mancato, si prega di prestare ancora !"
"Thank you for your purchase","Il pagamento va a buon fine, grazie per il vostro acquisto !"
"Your order payment is processing","Aspetta un momento, l'ordine è di trasformazione, non pagano più tardi !"
"Your order has been succeed","L\'ordine è stato riuscito !"
"You will receive an order confirmation email with details of your order and a link to track its progress","Riceverai una mail di conferma dell'ordine con i dettagli del tuo ordine e un link per monitorare i progressi !"
"Your Order No","Numero d\'ordine"
"Continue Checkout","Continuare a pagare"
"Continue Shopping","Continua Shopping"

Bank,Bank
Credit Mutuel,Credit Mutuel
Customer returned from NewOrder creditcard.,Customer returned from NewOrder creditcard.
Customer successfully returned from NewOrder creditcard,Customer successfully returned from NewOrder creditcard
Customer was redirected to NewOrder creditcard,Customer was redirected to NewOrder creditcard
CosmoCommerce creditcard Payment," ""NewOrder Creditcard Payment"""
Service Type,Service Type
Default NewOrder creditcard Interface language,Default NewOrder creditcard Interface language
Dutch,Dutch
Enabled,Enabled
English,English
Error occured,Error occured
French,French
German,German
Groupe CIC,Groupe CIC
Italian,Italian
Key,Key
Merchant No.,Merchant No.
SignKey Code,Gateway corresponding key
Transport URL,Transaction gateway submitted address
New order status,New order status
OBC,OBC
Order %s,Order %s
Order number will be used if left empty,Order number will be used if left empty
Order status when payment accepted by NewOrder creditcard," ""Order status when payment accepted by NewOrder creditcard"""
Order status when payment refused by NewOrder creditcard," ""Order status when payment refused by NewOrder creditcard"""
Payment accepted by NewOrder creditcard," ""Payment accepted by NewOrder creditcard"""
Payment from Specific countries,Payment from Specific countries
Payment from applicable countries,Payment from applicable countries
Payment refused by NewOrder creditcard," ""Payment refused by NewOrder creditcard"""
Preference will be given to store language chosen by the user," ""Preference will be given to store language chosen by the user"""
Returned MAC is invalid. Order cancelled.,Returned MAC is invalid. Order cancelled.
SHA key,SHA key
Site code,Site code
Sort order,Sort order
Spain,Spain
TPE number,TPE number
Test mode,Test mode
There was an error occurred during paying process.,There was an error occurred during paying process.
Title,Title
Transaction Description,Transaction Description
You will be redirected to NewOrder creditcard in a few seconds.,You will be redirected to NewOrder creditcard in a few seconds.
You will be redirected to NewOrder creditcard website when you place an order.,You will be redirected to NewOrder creditcard website when you place an order.
Products,Products
Virtual Products,Virtual Products
Virtual Products2,Virtual Products2
